"","trip","Year","month","gear","light","fleet","bait","hook","hooks","sets","SWO","BUM","lat5","lon5","lat","lon","hbf","habSWO","habBUM","season","area"
"113","103.1999.7.1.40.-60",1999,7,"103","3","1","4","4",2.922,3,11,0,40,-60,40.5,-63.5,6,4.7535e-08,8.4709e-09,"3","N"
"114","103.1999.9.1.0.-25",1999,9,"103","3","1","4","4",1.8,2,9,0,0,-25,4.5,-27.5,6,4.0911e-08,1.6782e-07,"3","N"
"115","103.2000.4.1.30.-70",2000,4,"103","3","1","4","4",5.598,6,18,0,30,-70,33.5,-71.5,6,3.3458e-08,3.0982e-08,"2","N"
"116","103.2000.5.1.30.-70",2000,5,"103","3","1","4","4",5.52,6,17,0,30,-70,33.5,-71,6,3.4143e-08,3.92745e-08,"2","N"
"117","103.2002.7.1.40.-55",2002,7,"103","3","1","4","4",0.9,1,2,0,40,-55,41.5,-56.5,6,4.6765e-08,5.7896e-09,"3","N"
"118","103.2004.11.1.25.-75",2004,11,"103","3","1","4","4",0.402,1,0,0,25,-75,25.5,-78.5,6,0,0,"4","N"
"119","105.2005.2.1.20.-50",2005,2,"105","4","1","2","1",0.87,1,3,0,20,-50,21.5,-51.5,3,2.8292e-08,1.1806e-07,"1","N"
"120","105.2005.5.1.40.-45",2005,5,"105","4","1","2","1",3.996,4,9,0,40,-45,41,-46.5,3,3.18555e-08,1.3801e-09,"2","N"
"121","105.2006.9.1.45.-40",2006,9,"105","4","1","2","1",2.601,3,3,0,45,-40,46.5,-40.5,3,3.7198e-08,2.7821e-09,"3","N"
"122","105.2007.12.1.25.-60",2007,12,"105","4","1","2","1",0.999,1,2,0,25,-60,27.5,-60.5,3,2.8123e-08,6.9384e-08,"4","N"
"123","105.2008.7.1.40.-60",2008,7,"105","4","1","2","1",8.586,11,17,0,40,-60,41.5,-63.5,3,5.1213e-08,1.6469e-09,"3","N"
"124","105.2009.2.1.25.-65",2009,2,"105","4","1","2","1",8.991,9,12,0,25,-65,27.5,-67.5,3,2.6224e-08,4.9432e-08,"1","N"
"125","105.2011.4.1.25.-75",2011,4,"105","4","1","2","1",4.398,7,3,0,25,-75,25.5,-78.5,3,0,0,"2","N"
"126","105.2011.9.1.40.-40",2011,9,"105","4","1","2","1",3.081,3,7,0,40,-40,44.5,-41.5,3,4.3361e-08,5.7339e-09,"3","N"
"127","105.2012.11.1.25.-60",2012,11,"105","4","1","2","1",10.461,11,11,0,25,-60,28.5,-62.5,3,2.8263e-08,6.3133e-08,"4","N"
"128","105.2014.2.1.25.-90",2014,2,"105","4","1","2","1",8.172,8,14,0,25,-90,27.5,-90.5,3,3.1708e-08,3.9389e-08,"1","N"
"129","106.2004.10.1.45.-40",2004,10,"106","4","1","2","1",14.44,15,55,0,45,-40,46.5,-42.5,4,4.4192e-08,1.134e-09,"4","N"
"130","106.2005.10.1.30.-75",2005,10,"106","4","1","2","1",0.552,1,0,0,30,-75,32.5,-75.5,4,2.9855e-08,7.9391e-08,"4","N"
"131","106.2006.1.1.15.-60",2006,1,"106","4","1","2","1",3.808,5,12,0,15,-60,18.5,-62.5,4,3.0452e-08,2.1045e-07,"1","N"
"132","106.2006.10.1.40.-40",2006,10,"106","4","1","2","1",35.736,39,133,0,40,-40,44.5,-42.5,4,3.6195e-08,7.2325e-09,"4","N"
"133","106.2006.2.1.25.-85",2006,2,"106","4","1","2","1",3.028,3,10,0,25,-85,27.5,-86.5,4,3.1648e-08,2.8367e-08,"1","N"
"134","106.2006.3.1.30.-65",2006,3,"106","4","1","2","1",7.076,8,13,0,30,-65,30.5,-68.5,4,2.6718e-08,2.1194e-08,"1","N"
"135","106.2006.7.1.45.-40",2006,7,"106","4","1","2","1",3.896,6,17,0,45,-40,47.5,-40.5,4,3.7886e-08,1.7979e-09,"3","N"
"136","106.2007.1.1.25.-55",2007,1,"106","4","1","2","1",12.92,16,31,0,25,-55,27.5,-59.5,4,2.7185e-08,4.5445e-08,"1","N"
"137","106.2007.1.1.25.-85",2007,1,"106","4","1","2","1",3.016,3,9,0,25,-85,28.5,-87.5,4,3.0897e-08,3.3334e-08,"1","N"
"138","106.2007.10.1.40.-60",2007,10,"106","4","1","2","1",2.088,2,12,0,40,-60,40.5,-64,4,4.578e-08,7.49195e-09,"4","N"
"139","106.2007.11.1.35.-65",2007,11,"106","4","1","2","1",7.176,9,25,0,35,-65,37.5,-68.5,4,3.0215e-08,2.8233e-08,"4","N"
"140","106.2007.11.1.40.-60",2007,11,"106","4","1","2","1",2.34,3,7,0,40,-60,40.5,-61.5,4,3.7382e-08,1.2995e-08,"4","N"
"141","106.2007.3.1.15.-55",2007,3,"106","4","1","2","1",1.6,2,4,1,15,-55,18.5,-58.5,4,2.9604e-08,1.5352e-07,"1","N"
"142","106.2007.3.1.25.-70",2007,3,"106","4","1","2","1",11.54,16,35,1,25,-70,29.5,-72.5,4,2.6809e-08,4.6711e-08,"1","N"
"143","106.2007.6.1.35.-60",2007,6,"106","4","1","2","1",4.62,5,18,1,35,-60,38.5,-62.5,4,3.1468e-08,1.8388e-08,"2","N"
"144","106.2007.8.1.40.-60",2007,8,"106","4","1","2","1",6.3,7,45,0,40,-60,41.5,-61.5,4,6.7639e-08,4.2346e-09,"3","N"
"145","106.2007.9.1.40.-40",2007,9,"106","4","1","2","1",11.472,11,52,1,40,-40,44.5,-42.5,4,3.9194e-08,4.0896e-09,"3","N"
"146","106.2008.1.1.25.-55",2008,1,"106","4","1","2","1",7.912,9,28,0,25,-55,26.5,-59.5,4,2.7198e-08,6.5787e-08,"1","N"
