"Year","area","fleet","ratioMean","ratioSE","deltaMean","deltaSE"
2012,"N","2",2050.32433640379,306.5403285574,2076.81798539859,438.047200411266
2012,"N","3",53.0156616541744,16.0051419956791,40.0567329983204,16.2091720422988
2012,"S","2",746.113646194004,147.838587666625,902.129083360174,175.08266918616
2012,"S","3",279.157989698671,115.917151726,373.361776746718,243.129628399616
2013,"N","1",139.686592116963,50.7884174875118,56.6474606901081,23.6341687765699
2013,"N","2",2026.07570574108,531.65897123307,1847.4009013114,502.037539706371
2013,"S","2",353.689406714702,117.892618098281,320.856802004764,113.210298020827
2013,"S","3",269.780538168678,55.5154799014791,217.284681583581,86.821432220829
2014,"N","1",78.9471446504766,36.09166582907,46.9698620536395,22.6402220726591
2014,"N","2",1073.02252985964,207.248843285883,1206.48484508613,215.509640311892
2014,"N","3",41.8254930368706,5.14525414762364,25.4729241841245,9.70528044593017
2014,"S","2",329.362538382298,165.322983768587,178.784504460778,79.4806137319593
2014,"S","3",55.9542408550937,55.8063709522629,44.9039,44.9039
2015,"N","1",109.547723494443,46.2075769296511,171.343520277193,98.3283865612355
2015,"N","2",658.83292111331,169.270532690444,549.80180405136,178.04362251095
2015,"S","2",532.959225207292,226.761631448925,431.397848316991,165.328150508009
2015,"S","3",87.2785744331001,95.9163829868415,158.501527777778,158.501527777778
2016,"N","2",1331.1837778213,310.914370400581,1047.73504984916,249.428030540778
2016,"N","3",66.1426144511859,7.48865673310438,50.680807670257,19.1992764561296
2016,"S","2",358.902774007491,137.199392663499,878.130177723623,430.38771037085
2016,"S","3",247.492828609699,90.1926582783611,506.788503802145,400.237273853056
2017,"N","2",1621.37727885117,516.918264033943,1303.76537591399,376.066883382047
2017,"N","3",16.2120342095385,2.58638253528898,13.6468325822011,3.73519378066827
2017,"S","2",185.154224267219,81.8476399748642,158.118256775461,70.6167416324455
2017,"S","3",380.41199221659,96.3433493256946,61.1216998610468,61.1216998610468
2018,"N","2",1189.96814999785,169.921928917411,1025.3981067004,161.186940134562
2018,"N","3",109.128646677472,24.2719834075166,67.4216972762649,30.8044723519714
2018,"S","2",514.56656324946,160.445601494452,631.230018521015,231.418971850198
2018,"S","3",284.193511988717,138.042768140624,126.440580089485,95.2734020809896
